701,B,One-Time,PPC,Packaging material short and delayed for availability.,Awari B,2026-08-30,Photo Proof,Pending,Completed,,2026-08-30T11:02:27.442Z,Store,,
702,B,One-Time,PPC,"Packaging Plastic Bins shortage ( Varroc, Dura)",Awari B,2026-08-30,Photo Proof,Pending,Inprocess,,2026-08-30T11:02:27.442Z,Store,,
703,A,One-Time,PPC,Two Laptop short for QA Activity and Dispatch invoice activity,Awari B,2026-08-30,Photo Proof,Pending,Pending,,2026-08-30T11:02:27.442Z,Quality,,
704,B,One-Time,PPC,Printer is not available for Sticker,Awari B,2026-08-30,Photo Proof,Pending,Pending,,2026-08-30T11:02:27.442Z,Store,,
705,B,One-Time,PPC,Customer Empty bin cleaning and storage is not effective.,Awari B,2026-08-30,Photo Proof,Pending,Completed,,2026-08-30T11:02:27.442Z,Store,,
706,B,One-Time,PPC,Not getting proper support from Fettling PDC & Machine shop For Quality & Qty,Awari B,2026-08-30,Photo Proof,Pending,Inprocess,,2026-08-30T11:02:27.442Z,Store,,
707,A,One-Time,PPC,Inprocess rejection not controlled.,Awari B,2026-08-30,Photo Proof,Pending,Inprocess,,2026-08-30T11:02:27.442Z,Quality,,
708,B,One-Time,PPC,Customer Empty bin location not Define.,Awari B,2026-08-30,Photo Proof,Pending,Inprocess,,2026-08-30T11:02:27.442Z,Store,,
709,B,One-Time,PPC,Loose wiring near rack area,Awari B,2026-08-30,Photo Proof,Pending,Pending,,2026-08-30T11:02:27.442Z,Store,,
710,B,One-Time,Plant Head,Machine shop,Awari B,2026-08-30,Photo Proof,Pending,Pending,,2026-08-30T11:02:27.442Z,Store,,
711,B,One-Time,Plant Head,Purchase,Awari B,2026-08-30,Photo Proof,Pending,Tool Recived,,2026-08-30T11:02:27.442Z,Purchase,,
712,B,One-Time,Plant Head,Emerson,Awari B,2026-08-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
713,B,One-Time,Plant Head,Deepak,Awari B,2026-08-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
714,B,One-Time,Plant Head,ALL DEPT,Awari B,2026-08-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
715,B,One-Time,Plant Head,Awari Sir,Awari B,2026-08-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
716,B,One-Time,Plant Head,Shaikh,Awari B,2026-08-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
717,B,One-Time,Plant Head,system,Awari B,2026-08-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
718,B,One-Time,Plant Head,⭐ [DSI Kaizen] Daily Review of performance Report,Awari B,2026-06-30,Photo Proof,Completed,[DSI Benefit: abcdefg],,2026-08-30T11:02:27.442Z,Store,,
719,B,One-Time,PDC,Apron Size of members,Shrirang C.,2026-06-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
720,B,One-Time,PDC,Categorization of Helper,Shrirang C.,2026-06-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
721,B,One-Time,Die Maint,Die maintenance Expand Ex Module,Subrata K,2026-06-30,Photo Proof,In process,,,2026-08-30T11:02:27.442Z,Tool Room,,
722,B,One-Time,Die Maint,PC/ Laptop required on shop floor,Subrata K,2026-06-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
723,B,One-Time,HR,Customer bin washing and cleaning,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
724,B,One-Time,HR,Location to be define for unclean and after washing bins,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
725,B,One-Time,HR,Machine installation,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
726,B,One-Time,HR,Training to Housekeeping members,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
727,B,One-Time,HR,Monitoring,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
728,B,One-Time,HR,New supervisors not joined ( Interview selection & joining) -PDC,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
729,B,One-Time,HR,Manpower Shortage in summer Season,Poonam S,2026-06-30,Photo Proof,In process,,,2026-08-30T11:02:27.442Z,Store,,
730,B,One-Time,HR,PF ESIC Legal Compliance not possible of all employees,Poonam S,2026-06-30,Photo Proof,In process,,,2026-08-30T11:02:27.442Z,Store,,
731,B,One-Time,HR,Fettling Supervisor recruitment,Poonam S,2026-06-30,Photo Proof,In process,,,2026-08-30T11:02:27.442Z,Store,,
732,B,One-Time,HR,IATF Documentation Engineer Recruitment,Poonam S,2026-06-30,Photo Proof,Completed,,,2026-08-30T11:02:27.442Z,Store,,
733,B,One-Time,Machine shop-01,Setter performance report,Awari B,2026-06-30,Photo Proof,Pending,,,2026-08-30T11:02:27.442Z,Store,,
734,B,One-Time,HR,ETP /STP Water reuse,Poonam S,2026-06-30,Photo Proof,In process,,,2026-08-30T11:02:27.442Z,Store,,
